# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	45904	46569	-							MJ_0045	666		old_locus_tag=MJ0045
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	45904	46569	-	AAB98025.1			conserved hypothetical protein			MJ_0045	666	221	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	46566	47351	-							MJ_0046	786		old_locus_tag=MJ0046
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	46566	47351	-	AAB98026.1			conserved hypothetical protein			MJ_0046	786	261	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	47370	48656	-							MJ_0047	1287		old_locus_tag=MJ0047
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	47370	48656	-	AAB98027.1			putative mRNA 3'-end processing factor 1			MJ_0047	1287	428	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	48846	49163	+							MJ_0047.1	318		old_locus_tag=MJ0047.1
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	48846	49163	+	AAB98040.1			hypothetical protein			MJ_0047.1	318	105	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	49516	50202	-							MJ_0048	687		old_locus_tag=MJ0048
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	49516	50202	-	AAB98029.1			conserved hypothetical protein			MJ_0048	687	228	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	50206	50469	-							MJ_0049	264		old_locus_tag=MJ0049
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	50206	50469	-	AAB98030.1			LSU ribosomal protein L31E			MJ_0049	264	87	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	51047	52237	-							MJ_0050	1191		old_locus_tag=MJ0050
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	51047	52237	-	AAB98031.1			group II decarboxylase			MJ_0050	1191	396	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	52347	52694	+							MJ_0051	348		old_locus_tag=MJ0051
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	52347	52694	+	AAB98032.1			conserved hypothetical protein			MJ_0051	348	115	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	52706	53374	-							MJ_0052	669		old_locus_tag=MJ0052
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	52706	53374	-	AAB98033.1			conserved hypothetical protein			MJ_0052	669	222	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	53385	54068	-							MJ_0053	684		old_locus_tag=MJ0053
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	53385	54068	-	AAB98039.1			hypothetical protein			MJ_0053	684	227	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	54156	55001	-							MJ_0054	846		old_locus_tag=MJ0054
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	54156	55001	-	AAB98034.1			conserved hypothetical protein			MJ_0054	846	281	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	55080	55763	-							MJ_0055	684		old_locus_tag=MJ0055
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	55080	55763	-	AAB98035.1			GTP cyclohydrolase II (ribA)			MJ_0055	684	227	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	55756	56166	-							MJ_0056	411		old_locus_tag=MJ0056
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	55756	56166	-	AAB98036.1			conserved hypothetical protein			MJ_0056	411	136	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	56182	57462	-							MJ_0057	1281		old_locus_tag=MJ0057
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	56182	57462	-	AAB98037.1			Na+/H+ antiporter			MJ_0057	1281	426	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	57588	58763	-							MJ_0058	1176		old_locus_tag=MJ0058
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	57588	58763	-	AAB98038.1			ammonium transporter (amtB)			MJ_0058	1176	391	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	58979	59317	+							MJ_0059	339		old_locus_tag=MJ0059
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	58979	59317	+	AAB98041.1			nitrogen regulatory protein P-II (glnB)			MJ_0059	339	112	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	59467	60225	+							MJ_0060	759		old_locus_tag=MJ0060
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	59467	60225	+	AAB98042.1			methylthioadenosine phosphorylase (mtaP)			MJ_0060	759	252	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	60363	60605	+							MJ_0061	243		old_locus_tag=MJ0061
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	60363	60605	+	AAB98043.1			ferredoxin			MJ_0061	243	80	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	60618	61241	+							MJ_0062	624		old_locus_tag=MJ0062
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	60618	61241	+	AAB98044.1			hypothetical protein			MJ_0062	624	207	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	61313	61858	+							MJ_0063	546		old_locus_tag=MJ0063
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	61313	61858	+	AAB98050.1			hypothetical protein			MJ_0063	546	181	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	61888	62457	+							MJ_0064	570		old_locus_tag=MJ0064
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	61888	62457	+	AAB98051.1			hypothetical protein			MJ_0064	570	189	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	62460	63551	-							MJ_0065	1092		old_locus_tag=MJ0065
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	62460	63551	-	AAB98045.1			conserved hypothetical protein			MJ_0065	1092	363	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	63654	65096	-							MJ_0066	1443		old_locus_tag=MJ0066
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	63654	65096	-	AAB98046.1			sulfate adenylate transferase, subunit 2 (cysD)			MJ_0066	1443	480	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	65160	65471	+							MJ_0067	312		old_locus_tag=MJ0067
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	65160	65471	+	AAB98052.1			hypothetical protein			MJ_0067	312	103	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	65514	65861	-							MJ_0068	348		old_locus_tag=MJ0068
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	65514	65861	-	AAB98047.1			conserved hypothetical protein			MJ_0068	348	115	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	66007	66909	+							MJ_0069	903		old_locus_tag=MJ0069
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	66007	66909	+	AAB98048.1			acetylglutamate kinase (argB)			MJ_0069	903	300	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	66966	67214	+							MJ_0070	249		old_locus_tag=MJ0070
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	66966	67214	+	AAB98053.1			hypothetical protein			MJ_0070	249	82	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67211	67483	+							MJ_0071	273		old_locus_tag=MJ0071
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67211	67483	+	AAB98049.1			conserved hypothetical protein			MJ_0071	273	90	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67562	67696	+							MJ_0072	135		old_locus_tag=MJ0072
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67562	67696	+	AAB98054.1			hypothetical protein			MJ_0072	135	44	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67729	68010	+							MJ_0073	282		old_locus_tag=MJ0073
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	67729	68010	+	AAB98055.1			hypothetical protein			MJ_0073	282	93	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	68013	69089	-							MJ_0074	1077		old_locus_tag=MJ0074
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	68013	69089	-	AAB98056.1			hypothetical protein			MJ_0074	1077	358	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	69233	70330	-							MJ_0075	1098		old_locus_tag=MJ0075
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	69233	70330	-	AAB98065.1			hypothetical protein			MJ_0075	1098	365	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	70391	71539	-							MJ_0077	1149		old_locus_tag=MJ0077
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	70391	71539	-	AAB98058.1			conserved hypothetical protein			MJ_0077	1149	382	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	71620	71961	+							MJ_0076	342		old_locus_tag=MJ0076
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	71620	71961	+	AAB98057.1			conserved hypothetical protein			MJ_0076	342	113	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	72051	72674	-							MJ_0078	624		old_locus_tag=MJ0078
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	72051	72674	-	AAB98066.1			hypothetical protein			MJ_0078	624	207	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	72664	73806	-							MJ_0079	1143		old_locus_tag=MJ0079
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	72664	73806	-	AAB98059.1			regulatory protein, putative (moxR)			MJ_0079	1143	380	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	73799	74182	-							MJ_0080	384		old_locus_tag=MJ0080
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	73799	74182	-	AAB98060.1			conserved hypothetical protein			MJ_0080	384	127	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	74670	76013	+							MJ_0081	1344		old_locus_tag=MJ0081
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	74670	76013	+	AAB98061.1			methyl coenzyme M reductase II, subunit beta (mrtB)			MJ_0081	1344	447	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	76026	76826	+							MJ_0082	801		old_locus_tag=MJ0082
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	76026	76826	+	AAB98062.1			methyl coenzyme M reductase II, subunit gamma (mtrG)			MJ_0082	801	266	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	76826	78484	+							MJ_0083	1659		old_locus_tag=MJ0083
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	76826	78484	+	AAB98063.1			methyl coenzyme M reductase II, subunit alpha (mtrA)			MJ_0083	1659	552	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	78746	79495	+							MJ_0084	750		old_locus_tag=MJ0084
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	78746	79495	+	AAB98064.1			CODH nickel-insertion accessory protein (cooC)			MJ_0084	750	249	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	79630	80751	+							MJ_0085	1122		old_locus_tag=MJ0085
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	79630	80751	+	AAB98067.1			iron transport periplasmic binding protein, putative (ceuE)			MJ_0085	1122	373	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	80788	81906	+							MJ_0086	1119		old_locus_tag=MJ0086
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	80788	81906	+	AAB98068.1			unspecified methyltransferase			MJ_0086	1119	372	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	81930	82979	+							MJ_0087	1050		old_locus_tag=MJ0087
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	81930	82979	+	AAB98069.1			hemin permease (hemU)			MJ_0087	1050	349	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	82998	83540	+							MJ_0088	543		old_locus_tag=MJ0088
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	82998	83540	+	AAB98075.1			hypothetical protein			MJ_0088	543	180	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	83541	84305	+							MJ_0089	765		old_locus_tag=MJ0089
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	83541	84305	+	AAB98070.1			ferric enterobactin transport ATP-binding protein			MJ_0089	765	254	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	84386	85609	+							MJ_0090	1224		old_locus_tag=MJ0090
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	84386	85609	+	AAB98071.1			collagenase (prtC)			MJ_0090	1224	407	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	85705	86613	+							MJ_0091	909		old_locus_tag=MJ0091
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	85705	86613	+	AAB98072.1			Na+/Ca+ exchanger protein, putative			MJ_0091	909	302	
gene	protein_coding	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	86613	88082	+							MJ_0092	1470		old_locus_tag=MJ0092
CDS	with_protein	GCA_000091665.1	Primary Assembly	chromosome		L77117.1	86613	88082	+	AAB98073.1			heterodisulfide reductase, subunit D (hdrD)			MJ_0092	1470	489	
