# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	29895	30173	-	AAC21706.1			conserved hypothetical protein			HI_0028	279	92	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	30229	31410	-							HI_0029	1182		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	30229	31410	-	AAC21707.1			penicillin-binding protein 5 (dacA)			HI_0029	1182	393	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	31426	32289	-							HI_0030	864		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	31426	32289	-	AAC21708.1			lipoprotein, putative			HI_0030	864	287	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	32341	33456	-							HI_0031	1116		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	32341	33456	-	AAC21709.1			rod shape-determining protein (rodA)			HI_0031	1116	371	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	33446	35401	-							HI_0032	1956		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	33446	35401	-	AAC21710.1			penicillin-binding protein 2 (pbp2)			HI_0032	1956	651	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	35422	35889	-							HI_0033	468		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	35422	35889	-	AAC21711.1			conserved hypothetical protein			HI_0033	468	155	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	35943	36251	-							HI_0034	309		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	35943	36251	-	AAC21712.1			conserved hypothetical protein			HI_0034	309	102	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	36376	38031	-							HI_0035	1656		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	36376	38031	-	AAC21713.1			conserved hypothetical protein			HI_0035	1656	551	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	38237	40015	+							HI_0036	1779		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	38237	40015	+	AAC21714.1			ABC transporter, ATP-binding protein			HI_0036	1779	592	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	40064	41200	+							HI_0037	1137		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	40064	41200	+	AAC21715.1			rod shape-determining protein (mreB)			HI_0037	1137	378	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	41280	42335	+							HI_0038	1056		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	41280	42335	+	AAC21716.1			rod shape-determining protein (mreC)			HI_0038	1056	351	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	42335	42823	+							HI_0039	489		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	42335	42823	+	AAC21717.1			rod shape-determining protein (mreD)			HI_0039	489	162	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	42874	43650	-							HI_0040	777		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	42874	43650	-	AAC21718.1			conserved hypothetical protein			HI_0040	777	258	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	43660	44463	-							HI_0041	804		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	43660	44463	-	AAC21719.1			exodeoxyribonuclease III (xthA)			HI_0041	804	267	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	44511	45185	-							HI_0042	675		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	44511	45185	-	AAC21720.1			conserved hypothetical protein			HI_0042	675	224	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	45185	46249	-							HI_0043	1065		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	45185	46249	-	AAC21721.1			conserved hypothetical transmembrane protein			HI_0043	1065	354	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	46309	46971	-							HI_0044	663		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	46309	46971	-	AAC21722.1			conserved hypothetical transmembrane protein			HI_0044	663	220	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	47298	47852	-							HI_0045	555		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	47298	47852	-	AAC21723.1			conserved hypothetical protein			HI_0045	555	184	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	47919	48281	+							HI_0046	363		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	47919	48281	+	AAC21724.1			alkylphosphonate uptake protein (phnA)			HI_0046	363	120	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	48334	48972	-							HI_0047	639		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	48334	48972	-	AAC21725.1			4-hydroxy-2-oxoglutarate aldolase/2-deydro-3-deoxyphosphogluconate aldolase (eda)			HI_0047	639	212	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	48991	49848	-							HI_0048	858		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	48991	49848	-	AAC21726.1			oxidoreductase			HI_0048	858	285	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	49848	50792	-							HI_0049	945		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	49848	50792	-	AAC21727.1			2-dehydro-3-deoxygluconokinase (kdgK)			HI_0049	945	314	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	50812	52017	-							HI_0050	1206		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	50812	52017	-	AAC21728.1			conserved hypothetical transmembrane protein			HI_0050	1206	401	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	52092	52589	-							HI_0051	498		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	52092	52589	-	AAC21729.1			conserved hypothetical transmembrane protein			HI_0051	498	165	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	52628	53614	-							HI_0052	987		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	52628	53614	-	AAC21730.1			conserved hypothetical protein			HI_0052	987	328	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	53641	54669	-							HI_0053	1029		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	53641	54669	-	AAC21731.1			zinc-type alcohol dehydrogenase			HI_0053	1029	342	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	54779	55579	+							HI_0054	801		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	54779	55579	+	AAC21732.1			uxu operon regulator (uxuR)			HI_0054	801	266	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	55607	56791	+							HI_0055	1185		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	55607	56791	+	AAC21733.1			mannonate dehydratase (uxuA)			HI_0055	1185	394	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	56844	57557	-							HI_0056	714		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	56844	57557	-	AAC21734.1			conserved hypothetical transmembrane protein			HI_0056	714	237	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	57655	59484	-							HI_0057	1830		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	57655	59484	-	AAC21735.1			excinuclease ABC, subunit C (uvrC)			HI_0057	1830	609	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	59486	60250	-							HI_0058	765		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	59486	60250	-	AAC21736.1			3-deoxy-D-manno-octulosonate cytidylyltransferase (kdsB)			HI_0058	765	254	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	60321	61319	-							HI_0059	999		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	60321	61319	-	AAC21737.1			conserved hypothetical protein			HI_0059	999	332	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	61392	63155	-							HI_0060	1764		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	61392	63155	-	AAC21738.1			ABC transporter, ATP-binding protein (msbA)			HI_0060	1764	587	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	63196	65562	-							HI_0061	2367		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	63196	65562	-	AAC21739.1			recombination protein (rec2)			HI_0061	2367	788	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	65821	66258	+							HI_0062	438		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	65821	66258	+	AAC21740.1			dnaK suppressor protein (dksA)			HI_0062	438	145	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	66506	67864	+							HI_0063	1359		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	66506	67864	+	AAC21741.1			poly(A) polymerase (pcnB)			HI_0063	1359	452	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	67873	68355	+							HI_0064	483		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	67873	68355	+	AAC21742.1			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine-pyrophosphokinase (folK)			HI_0064	483	160	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	68431	68907	+							HI_0065	477		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	68431	68907	+	AAC21743.1			conserved hypothetical protein			HI_0065	477	158	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	68915	70213	+							HI_0066	1299		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	68915	70213	+	AAC21744.1			N-acetylmuramoyl-L-alanine amidase, putative			HI_0066	1299	432	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	70214	72103	+							HI_0067	1890		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	70214	72103	+	AAC21745.1			DNA mismatch repair protein (mutL)			HI_0067	1890	629	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	72111	73046	+							HI_0068	936		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	72111	73046	+	AAC21746.1			tRNA delta(2)-isopentenylpyrophosphate transferase (trpX)			HI_0068	936	311	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	73052	75997	+							HI_0069	2946		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	73052	75997	+	AAC21747.1			glutamate-ammonia-ligase adenylyltransferase (glnE)			HI_0069	2946	981	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	76082	77758	-							HI_0070	1677		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	76082	77758	-	AAC21748.1			DNA repair protein (recN)			HI_0070	1677	558	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	77902	78687	-							HI_0072	786		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	77902	78687	-	AAC21749.1			conserved hypothetical protein			HI_0072	786	261	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	78751	79455	+							HI_0071	705		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	78751	79455	+	AAC21750.1			heat shock protein (grpE)			HI_0071	705	234	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	79468	79812	-							HI_0073	345		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	79468	79812	-	AAC21758.1			predicted coding region HI0073			HI_0073	345	114	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	79805	80245	-							HI_0074	441		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	79805	80245	-	AAC21759.1			predicted coding region HI0074			HI_0074	441	146	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	80526	82649	+							HI_0075	2124		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	80526	82649	+	AAC21751.1			anaerobic ribonucleoside-triphosphate reductase (nrdD)			HI_0075	2124	707	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	82767	83627	+							HI_0076	861		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	82767	83627	+	AAC21752.1			acyl-CoA thioesterase II (tesB)			HI_0076	861	286	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	83638	84504	+							HI_0077	867		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	83638	84504	+	AAC21760.1			predicted coding region HI0077			HI_0077	867	288	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	84580	85959	-							HI_0078	1380		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	84580	85959	-	AAC21753.1			cysteinyl-tRNA synthetase (cysS)			HI_0078	1380	459	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	86062	86571	+							HI_0079	510		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	86062	86571	+	AAC21754.1			peptidyl-prolyl cis-trans isomerase B (ppiB)			HI_0079	510	169	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	86575	87006	+							HI_0080	432		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	86575	87006	+	AAC21755.1			conserved hypothetical protein			HI_0080	432	143	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	87148	87936	+							HI_0081	789		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	87148	87936	+	AAC21756.1			conserved hypothetical protein			HI_0081	789	262	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88193	88459	+							HI_0082	267		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88193	88459	+	AAC21761.1			predicted coding region HI0082			HI_0082	267	88	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88474	88689	+							HI_0083	216		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88474	88689	+	AAC21762.1			predicted coding region HI0083			HI_0083	216	71	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88739	89062	-							HI_0084	324		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	88739	89062	-	AAC21757.1			thioredoxin (trxM)			HI_0084	324	107	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	89182	90177	-							HI_0085	996		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	89182	90177	-	AAC21763.1			D-lactate dehydrogenase, fermentative (ldhA)			HI_0085	996	331	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	90190	91335	-							HI_0086	1146		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	90190	91335	-	AAC21764.1			cystathionine gamma-synthase (metB)			HI_0086	1146	381	
gene	tRNA	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	91628	91698	+							HI_t01	71		
tRNA		GCA_000027305.1	Primary Assembly	chromosome		L42023.1	91628	91698	+				tRNA-Cys			HI_t01	71		
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	92148	93425	-							HI_0087	1278		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	92148	93425	-	AAC21765.1			threonine synthase (thrC)			HI_0087	1278	425	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	93468	94412	-							HI_0088	945		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	93468	94412	-	AAC21766.1			homoserine kinase (thrB)			HI_0088	945	314	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	94425	96872	-							HI_0089	2448		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	94425	96872	-	AAC21767.1			aspartokinase I / homoserine dehydrogenase I (thrA)			HI_0089	2448	815	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	97196	97909	+							HI_0090	714		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	97196	97909	+	AAC21768.1			conserved hypothetical protein			HI_0090	714	237	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	97949	99085	-							HI_0091	1137		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	97949	99085	-	AAC21769.1			conserved hypothetical protein			HI_0091	1137	378	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	99094	100353	-							HI_0092	1260		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	99094	100353	-	AAC21770.1			predicted coding region HI0092			HI_0092	1260	419	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	100475	101581	-							HI_0093	1107		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	100475	101581	-	AAC21771.1			conserved hypothetical protein			HI_0093	1107	368	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	101783	102103	-							HI_0094	321		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	101783	102103	-	AAC21779.1			predicted coding region HI0094			HI_0094	321	106	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	102453	103208	-							HI_0095	756		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	102453	103208	-	AAC21772.1			conserved hypothetical protein			HI_0095	756	251	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	103542	104117	+							HI_0096	576		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	103542	104117	+	AAC21780.1			predicted coding region HI0096			HI_0096	576	191	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	104390	105274	+							HI_0097	885		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	104390	105274	+	AAC21773.1			iron(III) ABC transporter, periplasmic-binding protein (hitA)			HI_0097	885	294	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	105491	106912	+							HI_0098	1422		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	105491	106912	+	AAC21774.1			iron(III) ABC transporter, permease protein (hitB)			HI_0098	1422	473	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	106914	107969	+							HI_0099	1056		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	106914	107969	+	AAC21775.1			iron(III) ABC transporter, ATP-binding protein (hitC)			HI_0099	1056	351	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	108004	108399	-							HI_0100	396		
CDS	with_protein	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	108004	108399	-	AAC21781.1			predicted coding region HI0100			HI_0100	396	131	
gene	protein_coding	GCA_000027305.1	Primary Assembly	chromosome		L42023.1	108243	108683	-							HI_0101	441		
