# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	11851	13860	+							MSWAN_0011	2010		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	11851	13860	+	AEG17059.1			hypothetical protein			MSWAN_0011	2010	669	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	13980	14789	-							MSWAN_0012	810		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	13980	14789	-	AEG17060.1			Ion transport 2 domain protein			MSWAN_0012	810	269	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	14858	15418	-							MSWAN_0013	561		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	14858	15418	-	AEG17061.1			Imidazoleglycerol-phosphate dehydratase			MSWAN_0013	561	186	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	15411	15623	-							MSWAN_0014	213		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	15411	15623	-	AEG17062.1			4Fe-4S ferredoxin iron-sulfur binding domain-containing protein			MSWAN_0014	213	70	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	15787	16482	-							MSWAN_0015	696		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	15787	16482	-	AEG17063.1			putative transcriptional regulator, ModE family			MSWAN_0015	696	231	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	16760	17350	-							MSWAN_0016	591		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	16760	17350	-	AEG17064.1			NADPH-dependent FMN reductase			MSWAN_0016	591	196	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	17597	18817	-							MSWAN_0017	1221		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	17597	18817	-	AEG17065.1			Bifunctional enzyme fae/hps			MSWAN_0017	1221	406	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	19068	20360	-							MSWAN_0018	1293		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	19068	20360	-	AEG17066.1			Tryptophan synthase beta chain			MSWAN_0018	1293	430	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	20682	21710	+							MSWAN_0019	1029		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	20682	21710	+	AEG17067.1			Domain of unknown function DUF1786 putative pyruvate format-lyase activating enzyme			MSWAN_0019	1029	342	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	21779	22426	+							MSWAN_0020	648		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	21779	22426	+	AEG17068.1			PHP domain protein			MSWAN_0020	648	215	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	22893	23687	+							MSWAN_0021	795		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	22893	23687	+	AEG17069.1			protein of unknown function DUF63			MSWAN_0021	795	264	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	23771	25288	+							MSWAN_0022	1518		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	23771	25288	+	AEG17070.1			isopropylmalate/citramalate/homocitrate synthase			MSWAN_0022	1518	505	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	25376	26140	+							MSWAN_0023	765		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	25376	26140	+	AEG17071.1			putative PAS/PAC sensor protein			MSWAN_0023	765	254	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	26451	27644	+							MSWAN_0024	1194		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	26451	27644	+	AEG17072.1			Nitrogenase			MSWAN_0024	1194	397	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	27834	28109	+							MSWAN_0025	276		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	27834	28109	+	AEG17073.1			DNA/RNA-binding protein Alba			MSWAN_0025	276	91	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	28553	29791	-							MSWAN_0026	1239		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	28553	29791	-	AEG17074.1			Pyrrolo-quinoline quinone repeat-containing protein			MSWAN_0026	1239	412	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	29924	31099	-							MSWAN_0027	1176		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	29924	31099	-	AEG17075.1			ABC-2 type transporter			MSWAN_0027	1176	391	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	31089	32183	-							MSWAN_0028	1095		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	31089	32183	-	AEG17076.1			daunorubicin resistance ABC transporter ATPase subunit			MSWAN_0028	1095	364	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	32180	32656	-							MSWAN_0029	477		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	32180	32656	-	AEG17077.1			transcriptional regulator, PadR-like family			MSWAN_0029	477	158	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	33313	33582	-							MSWAN_0030	270		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	33313	33582	-	AEG17078.1			hypothetical protein			MSWAN_0030	270	89	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	33842	34597	+							MSWAN_0031	756		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	33842	34597	+	AEG17079.1			Xylose isomerase domain-containing protein TIM barrel			MSWAN_0031	756	251	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	34682	35791	+							MSWAN_0032	1110		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	34682	35791	+	AEG17080.1			4Fe-4S ferredoxin iron-sulfur binding domain-containing protein			MSWAN_0032	1110	369	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	36258	37046	-							MSWAN_0033	789		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	36258	37046	-	AEG17081.1			Haloacid dehalogenase domain protein hydrolase			MSWAN_0033	789	262	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	37225	37890	-							MSWAN_0034	666		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	37225	37890	-	AEG17082.1			Lysine exporter protein (LYSE/YGGA)			MSWAN_0034	666	221	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	38180	38341	-							MSWAN_0035	162		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	38180	38341	-	AEG17083.1			hypothetical protein			MSWAN_0035	162	53	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	38397	39389	-							MSWAN_0036	993		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	38397	39389	-	AEG17084.1			alanine dehydrogenase			MSWAN_0036	993	330	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	39647	40411	+							MSWAN_0037	765		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	39647	40411	+	AEG17085.1			protein of unknown function DUF1624			MSWAN_0037	765	254	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	40637	41182	+							MSWAN_0038	546		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	40637	41182	+	AEG17086.1			hypothetical protein			MSWAN_0038	546	181	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	41320	42708	+							MSWAN_0039	1389		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	41320	42708	+	AEG17087.1			Glutamyl-tRNA(Gln) amidotransferase subunit A			MSWAN_0039	1389	462	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	42974	44578	+							MSWAN_0040	1605		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	42974	44578	+	AEG17088.1			Cobyrinic acid ac-diamide synthase			MSWAN_0040	1605	534	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	45081	45761	-							MSWAN_0041	681		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	45081	45761	-	AEG17089.1			3,4-dihydroxy-2-butanone 4-phosphate synthase			MSWAN_0041	681	226	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	45921	46307	-							MSWAN_0042	387		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	45921	46307	-	AEG17090.1			Riboflavin kinase			MSWAN_0042	387	128	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	46633	47739	-							MSWAN_0043	1107		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	46633	47739	-	AEG17091.1			ABC-type transporter, integral membrane subunit			MSWAN_0043	1107	368	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	47756	48811	-							MSWAN_0044	1056		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	47756	48811	-	AEG17092.1			ABC-type transporter, periplasmic subunit			MSWAN_0044	1056	351	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	49287	54422	+							MSWAN_0045	5136		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	49287	54422	+	AEG17093.1			polymorphic outer membrane protein			MSWAN_0045	5136	1711	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	54701	55318	+							MSWAN_0046	618		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	54701	55318	+	AEG17094.1			putative heterodisulfide reductase, subunit C			MSWAN_0046	618	205	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	55315	56247	+							MSWAN_0047	933		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	55315	56247	+	AEG17095.1			CoB--CoM heterodisulfide reductase			MSWAN_0047	933	310	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	56244	58604	+							MSWAN_0048	2361		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	56244	58604	+	AEG17096.1			methyl-viologen-reducing hydrogenase delta subunit			MSWAN_0048	2361	786	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	59049	61214	+							MSWAN_0049	2166		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	59049	61214	+	AEG17097.1			conserved repeat domain protein			MSWAN_0049	2166	721	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	61650	61841	+							MSWAN_0050	192		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	61650	61841	+	AEG17098.1			4Fe-4S ferredoxin iron-sulfur binding domain-containing protein			MSWAN_0050	192	63	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	61861	62850	+							MSWAN_0051	990		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	61861	62850	+	AEG17099.1			4Fe-4S ferredoxin iron-sulfur binding domain-containing protein			MSWAN_0051	990	329	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	63336	64037	+							MSWAN_0052	702		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	63336	64037	+	AEG17100.1			periplasmic binding protein			MSWAN_0052	702	233	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	64302	68663	+							MSWAN_0053	4362		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	64302	68663	+	AEG17101.1			PKD domain containing protein			MSWAN_0053	4362	1453	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	69009	69950	+							MSWAN_0054	942		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	69009	69950	+	AEG17102.1			hypothetical protein			MSWAN_0054	942	313	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	70108	70752	+							MSWAN_0055	645		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	70108	70752	+	AEG17103.1			MotA/TolQ/ExbB proton channel			MSWAN_0055	645	214	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	70746	71081	+							MSWAN_0056	336		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	70746	71081	+	AEG17104.1			Protein of unknown function DUF2149			MSWAN_0056	336	111	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	71399	72997	-							MSWAN_0057	1599		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	71399	72997	-	AEG17105.1			O-phosphoseryl-tRNA(Cys) synthetase			MSWAN_0057	1599	532	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	73137	74786	+							MSWAN_0058	1650		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	73137	74786	+	AEG17106.1			Succinate dehydrogenase (ubiquinone)			MSWAN_0058	1650	549	
gene	tRNA	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	74898	74970	-							MSWAN_R0001	73		
tRNA		GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	74898	74970	-				tRNA-Arg			MSWAN_R0001	73		
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	75299	75901	-							MSWAN_0059	603		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	75299	75901	-	AEG17107.1			phosphoesterase PA-phosphatase related protein			MSWAN_0059	603	200	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	76151	76591	-							MSWAN_0060	441		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	76151	76591	-	AEG17108.1			hypothetical protein			MSWAN_0060	441	146	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	76658	78022	-							MSWAN_0061	1365		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	76658	78022	-	AEG17109.1			AIR synthase related protein domain protein			MSWAN_0061	1365	454	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	78207	78818	-							MSWAN_0062	612		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	78207	78818	-	AEG17110.1			Imidazole glycerol phosphate synthase subunit hisH			MSWAN_0062	612	203	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	79083	80093	-							MSWAN_0063	1011		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	79083	80093	-	AEG17111.1			Nucleotidyl transferase			MSWAN_0063	1011	336	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	80403	81476	-							MSWAN_0064	1074		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	80403	81476	-	AEG17112.1			methanogenesis marker 13 metalloprotein			MSWAN_0064	1074	357	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	81761	82477	+							MSWAN_0065	717		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	81761	82477	+	AEG17113.1			hypothetical protein			MSWAN_0065	717	238	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	82690	83412	+							MSWAN_0066	723		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	82690	83412	+	AEG17114.1			Sugar fermentation stimulation protein A			MSWAN_0066	723	240	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	83624	86533	-							MSWAN_0067	2910		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	83624	86533	-	AEG17115.1			ATPase, P-type (transporting), HAD superfamily, subfamily IC			MSWAN_0067	2910	969	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	86729	88123	+							MSWAN_0068	1395		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	86729	88123	+	AEG17116.1			monooxygenase FAD-binding protein			MSWAN_0068	1395	464	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	88287	88565	+							MSWAN_0069	279		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	88287	88565	+	AEG17117.1			hypothetical protein			MSWAN_0069	279	92	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	88682	89383	+							MSWAN_0070	702		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	88682	89383	+	AEG17118.1			hypothetical protein			MSWAN_0070	702	233	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	89595	90785	-							MSWAN_0071	1191		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	89595	90785	-	AEG17119.1			GTPase of unknown function domain protein			MSWAN_0071	1191	396	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	91065	91700	+							MSWAN_0072	636		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	91065	91700	+	AEG17120.1			precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit			MSWAN_0072	636	211	
gene	pseudogene	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	91881	92254	-							MSWAN_0073	374		pseudo
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	92342	93340	-							MSWAN_0074	999		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	92342	93340	-	AEG17121.1			arsenite-activated ATPase ArsA			MSWAN_0074	999	332	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	93489	93911	-							MSWAN_0075	423		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	93489	93911	-	AEG17122.1			protein tyrosine phosphatase			MSWAN_0075	423	140	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	94028	94381	+							MSWAN_0076	354		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	94028	94381	+	AEG17123.1			transcriptional regulator, ArsR family			MSWAN_0076	354	117	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	94397	95497	+							MSWAN_0077	1101		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	94397	95497	+	AEG17124.1			arsenical-resistance protein			MSWAN_0077	1101	366	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	95685	95843	+							MSWAN_0078	159		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	95685	95843	+	AEG17125.1			hypothetical protein			MSWAN_0078	159	52	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	95942	96316	+							MSWAN_0079	375		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	95942	96316	+	AEG17126.1			hypothetical protein			MSWAN_0079	375	124	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	96909	97715	+							MSWAN_0080	807		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	96909	97715	+	AEG17127.1			NH(3)-dependent NAD(+) synthetase			MSWAN_0080	807	268	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	97789	98100	+							MSWAN_0081	312		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	97789	98100	+	AEG17128.1			CutA1 divalent ion tolerance protein			MSWAN_0081	312	103	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	98274	101141	+							MSWAN_0082	2868		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	98274	101141	+	AEG17129.1			leucyl-tRNA synthetase			MSWAN_0082	2868	955	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	101470	102252	-							MSWAN_0083	783		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	101470	102252	-	AEG17130.1			Ureidoglycolate lyase			MSWAN_0083	783	260	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	102318	103178	-							MSWAN_0084	861		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	102318	103178	-	AEG17131.1			ATP phosphoribosyltransferase			MSWAN_0084	861	286	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	103447	104739	+							MSWAN_0085	1293		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	103447	104739	+	AEG17132.1			5-methylthioadenosine/S-adenosylhomocysteine deaminase			MSWAN_0085	1293	430	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	104763	105485	+							MSWAN_0086	723		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	104763	105485	+	AEG17133.1			Haloacid dehalogenase domain protein hydrolase			MSWAN_0086	723	240	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	105697	107040	+							MSWAN_0087	1344		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	105697	107040	+	AEG17134.1			coenzyme F390 synthetase			MSWAN_0087	1344	447	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	107299	108552	+							MSWAN_0088	1254		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	107299	108552	+	AEG17135.1			tRNA pseudouridine synthase D			MSWAN_0088	1254	417	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	108649	108876	-							MSWAN_0089	228		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	108649	108876	-	AEG17136.1			hypothetical protein			MSWAN_0089	228	75	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	109146	109292	-							MSWAN_0090	147		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	109146	109292	-	AEG17137.1			YHS domain-containing protein			MSWAN_0090	147	48	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	109403	110647	-							MSWAN_0091	1245		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	109403	110647	-	AEG17138.1			amidohydrolase			MSWAN_0091	1245	414	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111032	111400	+							MSWAN_0092	369		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111032	111400	+	AEG17139.1			hypothetical protein			MSWAN_0092	369	122	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111493	111843	+							MSWAN_0093	351		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111493	111843	+	AEG17140.1			hypothetical protein			MSWAN_0093	351	116	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111998	112396	+							MSWAN_0094	399		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	111998	112396	+	AEG17141.1			hypothetical protein			MSWAN_0094	399	132	
gene	protein_coding	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	112561	112977	-							MSWAN_0095	417		
CDS	with_protein	GCA_000214725.1	Primary Assembly	chromosome		CP002772.1	112561	112977	-	AEG17142.1			UPF0107 protein			MSWAN_0095	417	138	
